Runs :100
Difference : 0.01
0.00000 100 0 0.0
0.0100000 100 0 0.0
0.0200000 100 0 0.0
0.0300000 100 0 0.0
0.0400000 100 0 0.0
0.0500000 100 0 0.0
0.0600000 100 0 0.0
0.0700000 100 0 0.0
0.0800000 100 0 0.0
0.0900000 100 0 0.0
0.100000 100 0 0.0
0.110000 100 0 0.0
0.120000 100 0 0.0
0.130000 100 0 0.0
0.140000 100 0 0.0
0.150000 100 0 0.0
0.160000 100 0 0.0
0.170000 100 0 0.0
0.180000 100 0 0.0
0.190000 100 0 0.0
0.200000 100 0 0.0
0.210000 100 0 0.0
0.220000 100 0 0.0
0.230000 100 0 0.0
0.240000 100 0 0.0
0.250000 100 0 0.0
0.260000 100 0 0.0
0.270000 100 0 0.0
0.280000 100 0 0.0
0.290000 100 0 0.0
0.300000 100 0 0.0
0.310000 100 0 0.0
0.320000 100 0 0.0
0.330000 100 0 0.0
0.340000 100 0 0.0
0.350000 100 0 0.0
0.360000 100 0 0.0
0.370000 100 0 0.0
0.380000 100 0 0.0
0.390000 100 0 0.0
0.400000 100 0 0.0
0.410000 100 0 0.0
0.420000 100 0 0.0
0.430000 100 0 0.0
0.440000 100 0 0.0
0.450000 100 0 0.0
0.460000 100 0 0.0
0.470000 100 0 0.0
0.480000 100 0 0.0
0.490000 100 0 0.0
0.500000 100 0 0.0
0.510000 100 0 0.0
0.520000 100 0 0.0
0.530000 100 0 0.0
0.540000 100 0 0.0
0.550000 100 1 0.01
0.560000 100 4 0.04
0.570000 100 11 0.11
0.580000 100 21 0.21
0.590000 100 36 0.36
0.600000 100 71 0.71
0.610000 100 89 0.89
0.620000 100 96 0.96
0.630000 100 98 0.98
0.640000 100 100 1.0
0.650000 100 100 1.0
0.660000 100 100 1.0
0.670000 100 100 1.0
0.680000 100 100 1.0
0.690000 100 100 1.0
0.700000 100 100 1.0
0.710000 100 100 1.0
0.720000 100 100 1.0
0.730000 100 100 1.0
0.740000 100 100 1.0
0.750000 100 100 1.0
0.760000 100 100 1.0
0.770000 100 100 1.0
0.780000 100 100 1.0
0.790000 100 100 1.0
0.800000 100 100 1.0
0.810000 100 100 1.0
0.820000 100 100 1.0
0.830000 100 100 1.0
0.840000 100 100 1.0
0.850000 100 100 1.0
0.860000 100 100 1.0
0.870000 100 100 1.0
0.880000 100 100 1.0
0.890000 100 100 1.0
0.900000 100 100 1.0
0.910000 100 100 1.0
0.920000 100 100 1.0
0.930000 100 100 1.0
0.940000 100 100 1.0
0.950000 100 100 1.0
0.960000 100 100 1.0
0.970000 100 100 1.0
0.980000 100 100 1.0
0.990000 100 100 1.0
